DESCRIPTION,CATEGORY
Фонарь б.габ.со св.у.112.04.34,Прочие товары
Перчатки медицинские латексные диагностические нестерильные XL (7-8) уп 50 пар,Медицинские изделия и расходники
"L404202/ET314950 (Услуги СВХ 0,2%)",Прочие услуги
ТОНАЛЬНЫЙ КРЕМ VIVIENNE SABO MAT MATTION 03,Бытовая химия и хозтовары
Ведро мусорное  STARS PLAST,Прочие товары
возмещение затрат по электроэнергии,Прочие услуги
Грузоперевозки Ташкент - Актобе Салтаев Бакыт  MERSEDES 518QQA02/WIELTON 18GYA02,Транспортно-логистические услуги
33310475 Серьги (Ag 925),Ювелирные изделия и аксессуары
UNI 90007 Pantone 1495,Прочие товары
МОРОЖЕНОЕ ИНМАРКО 75ГР MAX TWISTER ОКЕАН,Продукты питания и напитки
ТАРЕЛКА SMALLHOME НЕЖНОСТЬ 20.6*2,Прочие товары
ОТИСФЕН 20г N1 капли ушн,Лекарства
CAXU9104442 (Хранение груженного контейнера в обычной зоне 40ф),Транспортно-логистические услуги
"Транспортные услуги по маршруту:  г.Караганда-г.Темиртау-г.Костанай, авто DAF 315MWA10/35DVA10",Прочие услуги
Стартер 7412.3708,Автозапчасти и сервис авто
3КК20*26*34Е Подшипник игольчатый,Автозапчасти и сервис авто
Грузоперевозки  Нижний новгород Актобе ,Транспортно-логистические услуги
"Транспортные услуги по маршруту:  г.Нур-Султан- п.Аулиеколь, авто RENAULT 862ANA10/98AHA10",Прочие услуги
ЛАВАШ РОМАНОВСКИЙ ПРОДУКТ 180ГР РОМАНОВСКИЙ,Продукты питания и напитки
хариес,Прочие товары
Хондроксид Артра мазь для наруж. прим-я в тубе 5% 30г [QR] (Нижфарм ОАО/РОССИЯ),Лекарства
"OOLU8414262 (Услуги СВХ 0,2%)",Прочие услуги
ПОПЕРЕЧИНА КРЕПЛЕНИЯ,Прочие товары
СЫР ТВОРОЖНЫЙ ПЛАВЫЧ 400г МАСКАРПОНЕ,Продукты питания и напитки
МУКА QAZYNA 500ГР РИОВАЯ,Продукты питания и напитки
"L54_Подгузники детские ""YokoSun"" (9-13кг),4602009409653",Детские товары / гигиена
"Комплект ЦПГ к двигателю ММЗ КМЗ 245.1000108-С ""Дальнобойщик PREMIUM""",Строительные материалы и отделка
Погрузо-разгрузочные работы за 04.12.2024г.,Прочие товары
"ЛА РОССА Шампунь для волос ""Ангелика и семена Чиа"" 500 мл  (3141)",Бытовая химия и хозтовары
FCIU3173885 (Хранение порожнего контейнера в обычной зоне 20ф),Транспортно-логистические услуги
OOLU1339803 (Хранение груженного контейнера в обычной зоне 20ф),Транспортно-логистические услуги
ОПОЛАСКИВАТЕЛЬ ДЛЯ ДЕСЕН С ЭКСТ ПИХТЫ И КОРЫ ДУБА,Бытовая химия и хозтовары
Кабель АВВГп 2х10 ГОСТ,Строительные материалы и отделка
АКТИМЕЛЬ ИММУНОВИТАМИНЫ ПЕРСИК-КИДС 95ГР,Продукты питания и напитки
"Диск жесткий интерфейс SATA 6 Гбит/с, емкость более 4 Тб, но не более 8 Тб, размер 3,5""  Seagate EXOS ST8000NM000A",Прочие товары
"Сухой полнорационный корм для взрослых собак, Индейка ТМ «Наш Рацион» (2 кг)",Зоотовары
186451 Нож профильный циклевочный HW13.5x13.38x2.0 R=1.0 R=2.0 L Board 06,Строительные материалы и отделка
аренда помещения за сентябрь,Аренда оборудования и прочая аренда
СПИРТ МУРАВЬИНЫЙ 1% 50мл р-р д/нар прим спирт,Прочие товары
"Краска моющаяся ""Радуга-210"" акриловая G-003 24 кг",Строительные материалы и отделка
11-1065 Серьги (Ag 925),Ювелирные изделия и аксессуары
УВИРОМЕД 500мг N10 таб. п.п.о.,Лекарства
Услуги перевозки согласно заявке от 11.12.2024,Транспортно-логистические услуги
замена переднего ступичного подшипника   УАЗ Патриот г/н 951 BM 03,Автозапчасти и сервис авто
КОРМ WINNER 300ГР ДЛЯ КОШЕК НЕЖНАЯ ТЕЛЯТИНА,Зоотовары
Компьютерные услуги,Офисная техника и расходники
Сайдинг 13м2*1500,Прочие товары
"Транспортные услуги по маршруту:  г.Нур-Султан- г.Костанай, авто RENAULT 478ABO02/97AAP02",Прочие услуги
НАСАДКА-РАЗБРЫЗГИВАТЕЛЬ НА ШЛАНГ C22280240,Прочие товары
"Глюкоза, раст. для инфузий во флак. 5% 400мл №30 (Келун-Казфарм/Казахстан)",Лекарства
"SILU2764222 (Услуги СВХ 0,2%)",Прочие услуги
"0118-02 DX Аэрозольная эмаль универсальная DECORIX, 780, черный матовый",Строительные материалы и отделка
Диклофенак-Тева 100мг №10 супп,Продукты питания и напитки
Ginestet Bordeaux Class Lussac 0.75,Прочие товары
МОТОПРИД 50 мг №40 табл,Лекарства
HQ8945 Бутсы дет. спорт.,Обувь и средства индивидуальной защиты (СИЗ)
Рессора Газель задняя 2-х листовая с шарнирами и противоскрипами (усиленная),Автозапчасти и сервис авто
Whiskas под.кур д.стер кош 4*1.9кг CEAB,Прочие товары
Вывоз твердо бытовых отходов за ноябрь 2022 года,Прочие товары
ABC Ополаскиватель д/белья концентрат Sensitive 1440 мл 1*9 F-28,Бытовая химия и хозтовары
IC9416 Брюки муж.,Одежда и текстиль
GW3036 Кроссовки жен.,Обувь и средства индивидуальной защиты (СИЗ)
"Рыбные палочки ""VICI""  9*250г",Одежда и текстиль
81083 Кольцо (Ag 925),Ювелирные изделия и аксессуары
Тайлол 6 Плюс 250мг 100мл сусп фл  АК,Лекарства
"Шампунь ""Блеск-эффект"" для всех типов волос CUREX BRILLIANCE (300 мл)",Бытовая химия и хозтовары
"Аренда Прицеп тракторный-здание мобильное ""Башкирия 9ВБ"" г/н ACDA 985 за октябрь 2024г.",Аренда оборудования и прочая аренда
ВЫП.САМСА С КУРИЦЕЙ 100ГР,Прочие товары
ВИТАВИТ Д3 5000 МЕ №30 капс,Лекарства
ГЛЕНВИТОЛ АСКОРБИНОВАЯ КИСЛОТА С ГЛЮК 100мг N10 таб,Лекарства
"Генферон, супп. рект. 500000 МЕ №10 (Биокад ЗАО/РОССИЯ)",Продукты питания и напитки
чай,Продукты питания и напитки
Сумен жабдықтау (Вокзал ЖОСАЛЫ) 2023ж желтоқсан айы,Прочие услуги
33811846Д Серьги (Ag 925),Ювелирные изделия и аксессуары
Пантап 40 мг №28 табл.п.о.раствор./кишечн.,Лекарства
"Ремкомплект ГРМ: Цепь ГРМ (13506-28011), Натяжитель цепи (13540-28010), Направляющая (“башмак”) (135",Строительные материалы и отделка
"Краска моющаяся ""Радуга-210"" акриловая RAL 7038 24 кг",Строительные материалы и отделка
IJ5982 Футболка жен.,Одежда и текстиль
Замена диска сцепления,Автозапчасти и сервис авто
Скотч (не для пищ),Прочие товары
Сетка-рабица 50*50,Прочие товары
"Размещение рекламы на цифровых форматах,  Кокшетау,  Апрель 2025",Рекламные и маркетинговые услуги
Продвижение товара путём предоставления скидки потребителю с 01.12.2022г. до 31.12.2022 г.,Прочие товары
НАТУРЕЛЛА ПРОКЛАДКИ ЕЖЕДНЕВНЫЕ N20 лайт ДЕО РОМАШКА,Бытовая химия и хозтовары
Кукла Floral 35см 3+ кор,Прочие товары
SJLU4200413 (Хранение порожнего контейнера в обычной зоне 40ф),Транспортно-логистические услуги
ИГРУШКА INDA TOYS ДЛЯ КУПАНИЯ В АССОРТИМЕНТЕ,Детские товары / гигиена
"БАНКА BEROSSI Д/СЫПУЧИХ AVENA 1,5Л ЖЕЛТ",Прочие товары
"МАСЛО СЛИВОЧНОЕ КРЕСТЬЯНСКОЕ НОВЫЙ ДЕНЬ 82,5% 500ГР",Продукты питания и напитки
TBJU4668945 (Дополнительные услуги СВХ.Таможенный осмотр.Завершение транзита),Прочие услуги
ЕВ Тушь Professional Make-Up  Потрясающий эффект PUSH-UP!*10 EXTENSION,Прочие товары
"Болт М12х1,25х100 двигатель, силовой агрегат",Строительные материалы и отделка
Техническое обслуживание траволаторов в декабре 2023 г.,Прочие услуги
Замена баннера на роллапе,Автозапчасти и сервис авто
НОСКИ ТЭГАМ МУЖ 1С6 Р23 СЕТКА,Одежда и текстиль
КРОНШТЕЙН ВЕРХНИЙ,Оборудование и инструмент
КРАБОВЫЕ ПАЛОЧКИ САНТА БРЕМОР 200ГР,Одежда и текстиль
Ремкомплект прокладок двигателя Газель 402 с ГБЦ Полный (18 позиций)  ПМ,Строительные материалы и отделка
:SAFEGUARD Мыло NatDet с ЭкстрМорВод 110г,Бытовая химия и хозтовары
"Фито чай Зверобой Плюс, пак. 1,5г №20 (Зерде-фито/КАЗАХСТАН)",Продукты питания и напитки
"Чулок эласт. компрес. до бедра с штрипкой, разм.  №1 (Аст-Эласт/КАЗАХСТАН)",Прочие товары
Перчатки КЩС 50*50 тип 2,Прочие товары
АНТИБАК С МАСЛОМ ЧАЙНОГО ДЕРЕВА 180ГР,Продукты питания и напитки
Замена ламп в противотуманке,Автозапчасти и сервис авто
За услуги перевозки,Транспортно-логистические услуги
"MARANI Алазанская Долина красное полусладкое 0,75 (41022)",Прочие товары
Пуско-наладочные работы приточной установки,Прочие товары
"Знак ""Ответственный за здания"" 150*300мм плас",Прочие товары
Мед. реабилитация и восстановительное лечение 2-х чел в Полулюкс (deluxe) Свиридова Анна Валерьевна             ,Прочие услуги
"Сироп Monin Кокос ""COCONUT"", стекло, 0,7л.",Лекарства
Мыло жидкое,Бытовая химия и хозтовары
GD0555 Перчатки жен.,Прочие товары
ПЕЧЕНЬЕ ROSHEN 150ГР LOVITA АПЕЛЬСИН,Продукты питания и напитки
стикер,Прочие товары
"Печать постеров,  1,24*1,84,  Алматы,  Декабрь 2022",Рекламные и маркетинговые услуги
ШАМПУНЬ PALMOLIVE ПИИТАНИЕ И СИЛА АВАКАДО 380МЛ,Бытовая химия и хозтовары
Берлиприл 20мг №30 табл,Лекарства
Услуги самосвала грузоподъемностью от 20 до 25 тонн ЖК Арнау 2 очередь Опер. Деят,Прочие услуги
PAMPERS Трусики Pants Maxi 72,Детские товары / гигиена
Когда я вырасту чай детский 85г ромашка,Продукты питания и напитки
"YMLU8258130 (Услуги СВХ 0,2%)",Прочие услуги
Штукатурные работы,Прочие товары
IL6073 Куртка дет. спорт.,Продукты питания и напитки
Цилиндр тормозной рабочий передний HYNDAI HD 78,Автозапчасти и сервис авто
Сервисное обслуживание печей Merrychef 2108213090605 г. Астана.,Прочие услуги
MONASTRAL 6Y-C - ПИГМЕНТ ЗЕЛЕНОГО ОТТЕНКА,Прочие товары
Абонплата за ноябрь 2024г,Транспортно-логистические услуги
ПОЛОТЕНЦЕ PURRY СЕРЫЙ SEDEF 30X50,Одежда и текстиль
PCIU2203178 (Дополнительные работы крана по возврату контейнера 20ф),Транспортно-логистические услуги
"Обратный клапан поворотный DN600 PN16 арт. SWC 03-306.1, фланцевый тип соединения, материал корпуса: высокопрочный чугун, уплотнение: металлическое,  класс герметичности A",Продукты питания и напитки
Замена крепления стабилизатора заднего,Автозапчасти и сервис авто
Салфетки стер мед марл 10*10 №5 Антарес,Бытовая химия и хозтовары
ВИЛКА ПОДШИПНИКА СЦЕПЛЕНИЯ,Автозапчасти и сервис авто
РОЗУЛИП 10мг N28 таб,Лекарства
"Шкаф ВРУ 200А ВхШхГ 1600х600х300х1,2м RAL 7035, цвет шагрень. В комплекте 1.Счетчик ДАЛА СА4У-Э720 ТХ IP П RS Д G/PLC (3x220/380V 5 7 5A-1шт, 2.Saicom-P1 (PLC модуль)-1шт,3.Автомат ВА 99ML 250/200A 3P 20кА EKF Basic-1шт,4.TTE-30-200/5A класс точности 0,5S EKF-3шт,5.Автомат ВА 99ML 100/63A 3P 18кА EKF Basic-4шт,6.Автомат ВА 99ML 250/160A 3P 20кА EKF Basic-2шт,Испытательнвя колодка -1 шт,Шина алюминиевая 2 м .Продукция ELCOS.Упаковка пенопласт,стре",Продукты питания и напитки
1SDA067577R1 XT2S 160 TMA 63-630 4p F F,Прочие товары
СЕМЕНА АЭЛИТА 1Г ОГУРЕЦ ОТЕЛО F1,Продукты питания и напитки
Квашенная капуста 300гр,Продукты питания и напитки
ФИЛЕ КУР ПЕТРУХА ВЕС 5289,Продукты питания и напитки
"Монтаж/демонтаж постеров,  Шымкент,  Октябрь 2022",Прочие услуги
Бачок ГЦС в сборе,Прочие товары
Услуги питания за апрель 2025,Прочие услуги
ESPU8004110 (Дополнительные работы крана по возврату контейнера 40ф),Транспортно-логистические услуги
VIctoria кружка 29 сl.(59412),Прочие товары
ПЕРСИЛ КОЛОР СОВ 3КГ,Бытовая химия и хозтовары
Туалетная бумага Жетысу Кагаз без втулкой,Бытовая химия и хозтовары
ПРОКЛАДКИ NATURELLA 20ШТ УЛЬТРА НОРМАЛ,Бытовая химия и хозтовары
"СОК ТЫКВЕННЫЙ НЕКТАР 0,7Л КУХМАСТЕР",Продукты питания и напитки
"LYGU3041536 (Оформление док-в по отправке контейнеров,вагонов,платформ)",Транспортно-логистические услуги
НИСТАТИН 500тыс.ЕД N20 таб,Лекарства
12-1206 Серьги (Ag 925),Ювелирные изделия и аксессуары
шестерня к/вала,Автозапчасти и сервис авто
ПЫЛЬНИК ШАРОВОЙ ОПОРЫ ДЛЯ А/М ГАЗЕЛЬ NEXT НИЖН. + 2 ФИКСИРУЮЩИХ КОЛЬЦА (СИЛИКОН),Автозапчасти и сервис авто
Chartreuse Jaune 43% 0.7,Прочие товары
ГЕЛЬ ДЛЯ ДУША SYNERGETIC 380МЛ ИНЖИР И ЛОТОС,Бытовая химия и хозтовары
Ремонт оборудования,Прочие товары
WCC. C8030 Тонер-картридж ГОЛУБОЙ (15k) C8035/C8045/C8055/C8070,Офисная техника и расходники
"NAVIEN LST30K, ж/т отопительный бойлер (белый)",Оборудование и инструмент
ВАРЕНЬЕ КЛУБНИКА UZKAND 400ГР,Продукты питания и напитки
"Гидравлический шланг ROCKMASTER/4SP  DN12, фитинг Metric Fem Heavy, Str, Metric fem 90 Deg-1,00м",Прочие товары
КАРТОФЕЛЬ ФРИ AVIKO 450ГР ZIG ZAG,Прочие товары
Балка покрытия PK-BR15,Прочие товары
Абонплата за декабрь  2024г.,Транспортно-логистические услуги
"ВОДА МИН.БОРЖОМИ ФЛЕЙВОРД 0,33л ВИШНЯ И ГРАНАТА",Продукты питания и напитки
Родбант кнауф,Прочие товары
PPV Блз Мицеллярн очищ и питан 360мл,Прочие товары
КОНФЕТЫ С НАЧИНКОЙ ФЭНСИ ВЕС 82107 KDV,Продукты питания и напитки
штанга реактивная 2101 поперечная длинная АвтоВаз,Прочие товары
ВАТНЫЕ ПАЛОЧКИ BELLA 200ШТ В КВАДРАТНОЙ УПАКОВКЕ,Одежда и текстиль
ЛР5440-8101060-69 (ПРАМО) Радиатор отопителя,Автозапчасти и сервис авто
"1278231;PACKING,RING / УПЛОТНИТЕЛЬНОЕ КОЛЬЦО",Ювелирные изделия и аксессуары
NATURE'S PROTECTION LIFESTYLE лакомства для собак мягкие ломтики утки с морской капустой 75 г,Прочие товары
ПП6-1-0 Кран пробковый КР25,Прочие товары
Ананасы кольцами Sambo 580мл ж/б easy open,Ювелирные изделия и аксессуары
ПАКЕТ-СУМКА БУМАЖНАЯ КРАФТ,Одежда и текстиль
"Штукатурка декоративная ""Arcobaleno Art-Beton"" RAL 7044 25 кг",Строительные материалы и отделка
Бруфен Рапид 400 мг №10 капс,Лекарства
"Краска полуматовая особо прочная ""San Marito Diamante Extra 20"" база C 9 л",Строительные материалы и отделка
"Электромагнитный расходомер Promag L 400, 5L4C32, DN32, 5L4C32-AALHA0AQD210A",Оборудование и инструмент
РОКС ДЖУНИОР ЗУБНАЯ ПАСТА 74г ЯГОДНЫЙ МИКС,Продукты питания и напитки
ЙОГУРТ ГРЕЧЕСКИЙ 2% ЧЕРНИКА 250гр,Продукты питания и напитки
"Размещение наружной рекламы на ""Ситилайт Decaux"",  Астана,  Январь 2023",Рекламные и маркетинговые услуги
HS5440 Леггинсы жен.,Одежда и текстиль
МУКА AQ-NIET 2кг ПШЕНИЧНАЯ ВЫСШИЙ СОРТ,Продукты питания и напитки
5306791 Подвеска (Ag 925),Ювелирные изделия и аксессуары
"РВД Ду=13 длина 1,1 м",Прочие товары
"Ветощь, рулон",Прочие товары
"Мед. реабилитация и восстановительное лечение 1-го чел в номере ""Standard"" Сейфулина Рсалды Жумашовна ",Прочие услуги
Датчик температуры на термостат Газ322173,Автозапчасти и сервис авто
КОЛБ.НАРОДНЫЕ КОЛБАСЫ 420ГР КОНСКАЯ ПОЛУКОПЧЕНАЯ,Продукты питания и напитки
"Профиль ПН 27/28 (0,6 мм)",Строительные материалы и отделка
IE4971 Сланцы жен.,Обувь и средства индивидуальной защиты (СИЗ)
Услуги проживания Шудров В.В.  с 08.12.2023 г. по 10.12.2023 г.,Прочие услуги
ElectroJam Salt Apple Candy 30 мл 20 мг,Оборудование и инструмент
73313150б Браслет (Ag 925),Ювелирные изделия и аксессуары
"Терафлекс, капс. №120 (Sagmel Inc. IDA/США)",Лекарства
Пшеница 3 класс,Продукты питания и напитки
"Средство кислотно-моющее пенное ""MD-acid plus"" с дезинфицирующим эффектом, 20л",Бытовая химия и хозтовары
HB3454 Брюки муж.,Одежда и текстиль
"Краска ""Фасадная"" акриловая J-165 24 кг",Строительные материалы и отделка
"Намордник нейлоновый ""Dog Extremе"" №4 (А:22см) (немецкая овчарка)",Зоотовары
Краска для детских площадок M-116,Строительные материалы и отделка
IB6858 Майка жен.,Прочие товары
Мед. реабилитация и восстановительное лечение 1-го чел в номере Luxe Турак Махамбет  Абдрахманулы             ,Прочие услуги
"МОЛОКО АЙС 500мл 6,5% К ЧАЮ ТОПЛЕНОЕ ПЭТ",Продукты питания и напитки
IB9110 Футболка жен.,Одежда и текстиль
КАПСУЛЫ ARIEL 18ШТ*27ГР АРОМАТ МАСЛА ШИ,Лекарства
Заливка бетона вручную с армированием,Строительные материалы и отделка
"Ленточная стяжка белая 3,6*200 (0860 0110 402)",Прочие товары
СЕРВЕЛАТ ЭКСТРА В/К ВЕС 96747 УРАЛЬСКИЙ,Продукты питания и напитки
ТЯГА ПРИВОДА КАПОТА УАЗ ПАТРИОТ,Продукты питания и напитки
"Тройник равнопроходной приварной стальной Ду-57 *4 мм , Ст-20",Прочие товары
ДЕЗОДОРАНТ REXONA MEN СТИК 50МЛ ИНВИЗИБЛ ДРАЙ,Бытовая химия и хозтовары
"Карамель на неоновой палочке ""Лучистик Картошка Фри"" 10 гр",Продукты питания и напитки
Decordi Rosso Secco 0.75,Прочие товары
Лоток перфорированный 50х500х3000 Ekz-50-5-1.2,Прочие товары
Амортизатор ГАЗель газомасл.,Автозапчасти и сервис авто
93-130-00749-1 Подвеска (Ag 925),Ювелирные изделия и аксессуары
"БЕЛОЕ ПЛАТЬЕ ИЗО ЛЬНА И ХЛОПКА С ПРИНТОМ НА СПИНЕ ХЛОПОК - 50%, ЛЁН - 50% ONE SIZE",Прочие товары
IJ7777 Брюки жен.,Одежда и текстиль
Держатель трубы на дерево прям.сечение 8017,Прочие товары
СОК САДЫ ПРИДОНЬЯ 1л ТОМАТНЫЙ С СОЛЬЮ И МЯКОТЬЮ,Продукты питания и напитки
БЕЛАРТРО 20мг 2мл N1 р-р д/внутрисуст введ,Прочие товары
"Брюки черные для женщин, хлопок 100% (black trousers)1908 L",Одежда и текстиль
пересчет денег,Прочие товары
ЗДОРОВИТ СУДОРОГИНУМ ТАБ №56,Лекарства
ОСВЕЖИТЕЛЬ ВОЗДУХА СВЕЖЕСТЬ ДОЖДЯ 300СМ,Бытовая химия и хозтовары
"Чулки 1класс разм.1 цвет Nero, пара эласт. медиц компресс. с ажурной резинкой(Luropas/Италия)",Прочие товары
МАСЛО ПОДСОЛНЕЧНОЕ ОЛЕЙНА 1л,Продукты питания и напитки
"КЕФИР ВОСТОК МОЛОКО 450гр 2,5% П/П",Продукты питания и напитки
Услуга колеровки,Прочие услуги
ШПАТЕЛЬ МЕДИЦИНСКИЙ СТЕР БИОСПАТ ДЕТСКИЙ,Медицинские изделия и расходники
"Техническое обслуживание инженерных сетей здания АБК, гаража для минитехники, гаража на 2 автомашины экологического участка РГОК ТОО ""Казцинк"", согласно Акту выполненных работ № 28 от 19.12.2023г.",Прочие услуги
"CCLU6915151 (Терм.обработка груженного контейнера 40ф,доставленного по ж/д (собственного)-комплексный)",Транспортно-логистические услуги
"Аренда Контейнер 20 тн FSCU 3504180 (00123) инв. № 409, за октябрь 2024г.",Транспортно-логистические услуги
H409101/EO792377(Дополнительные услуги СВХ.Таможенный осмотр.Завершение транзита),Прочие услуги
"доборная планка лиственнница 31,5  см",Прочие товары
"Шлея для собак анатомическая H-образная WAUDOG Nylon с QR-паспортом, рисунок ""Инди"", пластиковый фас",Зоотовары
"TBJU2011951 (Терм.обработка порожнего контейнера 20ф,доставленного по ж/д (собственного)-комплексный",Транспортно-логистические услуги
"Игрушка для кошек ""Совенок с перьями"", 55/150мм, Triol",Детские товары / гигиена
"PKEU2002403 (Терм.обработка груженного контейнера 20ф,доставленного по ж/д (собственного)-комплексный)",Транспортно-логистические услуги
КОФЕ CARTE NOIRE 200ГР РАСТВОРИМЫЙ ПРОМО Д/П,Продукты питания и напитки
Пломба пластиковая номерная,Прочие товары
"Ручка левой двери задка ГАЗ-2705, 3221, 2217 в сборе с тягой",Канцтовары и упаковка
Мыло MEX 5*60гр ECOPAK Гранат 1/24 TВ-09/1,Бытовая химия и хозтовары
94021704 Серьги (Ag925),Ювелирные изделия и аксессуары
"Johnnie Walker Black Label 12YO Виски шотландский 1,0",Продукты питания и напитки
Грибок 85 мм,Продукты питания и напитки
"Фито-чай ""Печеночно-желчегонный с кукурузными рыльцами"", № 20 фильтр-пакеты по 1,5г",Продукты питания и напитки
"Размещение наружной рекламы на ""Ситилайт Decaux MUPI"",  1,19*1,75,  Алматы, Сентябрь 2022",Рекламные и маркетинговые услуги
СЕЛЬДЬ В МАСЛЕ 480ГР МЕРИДИАН,Продукты питания и напитки
1210015532 Серьги (Ag 925),Ювелирные изделия и аксессуары
Кальцидринк порошок 390 г / мандарин,Бытовая химия и хозтовары
дижонская горчица,Прочие товары
Датчик давления масла,Автозапчасти и сервис авто
"Этацид, спрей наз. 0,05% 18,0/140 доз (World Medicine/Турция)",Лекарства
Карась мелкий (от200гр-300гр),Прочие товары
:GIL FUSION Гель Д/Бр Увлажнение 200мл,Бытовая химия и хозтовары
Аренда Механизм подачи LN-23P инв. №1326 за ноябрь 2024г.,Аренда оборудования и прочая аренда
Совок для туалета ВАКА Премиум /мелкая ячейка/ (1/80),Бытовая химия и хозтовары
"LYGU8034735 (Терм.обработка порожнего контейнера 20ф,доставленного по ж/д (собственного)-комплексный)",Транспортно-логистические услуги
Манжета 1.2-30х52-1    ГОСТ 8752-79,Прочие товары
Сиденье 700А.68.00.000,Прочие товары
ФИТОЧАЙ БОЯРЫШНИКА ПЛОДЫ 100г сыр раст,Продукты питания и напитки
"Соус десертный со вкусом и ароматом клубники ""Dijo""",Продукты питания и напитки
"Услуги авторского надзора-Ремонт кровли адресу: ул. Керентау, д.12а",Аренда оборудования и прочая аренда
ZGXU6011017 (Хранение порожнего контейнера в обычной зоне 40ф),Транспортно-логистические услуги
СРЕДСТВО Д/УНИТАЗА ТУАЛЕТНЫЙ УТЁНОК 500мл МОРСКОЙ,Бытовая химия и хозтовары
"Кабель МКЭШ 5х0,75 (струна КПУ)",Строительные материалы и отделка
Проверка герметичности газовой системы выключателя.,Прочие товары
"FESU2077047 (Терм.обработка порожнего контейнера 20ф,доставленного по ж/д (собственного)-комплексный",Транспортно-логистические услуги
ЗУБНАЯ ПАСТА SPLAT 75мл ЭКСТРА ОТБЕЛИВАНИЕ,Продукты питания и напитки
СМЕСЬ 450Г HORTINO С БРОККОЛИ,Прочие товары
"Гайка М10 ГОСТ 5915-70,5929-70, кл.6",Строительные материалы и отделка
Камера торм.ДЛИННЫЙ ШТОК тип 30 БелАК,Прочие товары
FX3934 Кроссовки жен.,Обувь и средства индивидуальной защиты (СИЗ)
Аренда складского помещения 425 м2. за  июль 2023г.,Аренда оборудования и прочая аренда
"Квартира 281 (67,0)",Прочие товары
"Краска глубокоматовая для стен и потолков ""San Marito Ametista Matt 3"" 9 л",Строительные материалы и отделка
РЕГИДРОСТАНДАРТ №10 ПАК СТИК,Прочие товары
HD9102 Футболка жен.,Одежда и текстиль
GREENFIELD ЧАЙ FOREST DREEN BLACK TEA 20X12 ПИРАМИДА,Продукты питания и напитки
ЭСКИМО СВИТЛОГОРЬЕ 80ГР ПЛОМБИР ШОКОЛАДНЫЙ,Продукты питания и напитки
ИНТЕЛЛАН 90мл сироп,Лекарства
 перечисленная сумма в счет погашения займов Заемщиков            ,Прочие товары
IN2823 Куртка жен.,Продукты питания и напитки
Фито-чай SHIPA Печеночный весовой 50 гр,Продукты питания и напитки
Я САМАЯ ВАТНЫЕ ДИСКИ С.Ц 100ШТ,Прочие товары
"ПИВО ДОБРЫЙ БОБР 0,43Л ЖБ",Продукты питания и напитки
AYDIN TRAFO 21-300/4 компрессор воздушный ,Оборудование и инструмент
"Шланг гибкий, 1,5м",Прочие товары
"Краска ""EKO Life"" моющаяся гипоаллергенная акриловая Н-166 7 кг",Строительные материалы и отделка
8/0 Крем краска De Luxe светло-русый,Бытовая химия и хозтовары
ОСВЕЖИТЕЛЬ ДО-РЕ-МИ УТРЕННЯЯ ПРОХЛАДА 350МЛ,Прочие товары
СЕМЕНА АЭЛИТА 1Г РЕДЬКА ЗИМНЯЯ КРУГЛАЯ ЧЕРНАЯ,Продукты питания и напитки
"ПИВО ЖИГУЛИ 1968 0,43Л СВЕТЛОЕ ЭКСТРА МЯГК СТ.БУТ",Продукты питания и напитки
Дверное полотно остекленное Рада Линия Ель альпийская 600мм,Прочие товары
CAMOMILE-ТРИХО-G/М Набор реагентов для выявления антител классов G и М к Trichomonas vaginalis  методом иммуноферментного анализа,Лекарства
РЕМКОМПЛЕКТ КРЫШКИ ЯЩИКА ДЛЯ ДОКУМЕНТОВ ГАЗЕЛЬ БИЗНЕС (3 ДЕТ.),Строительные материалы и отделка
10-1496 Кольцо (Ag 925),Ювелирные изделия и аксессуары
Зуб. щетка детская Bambolina Мульт Мимишки от 3-х до 5лет (Китай),Бытовая химия и хозтовары
ПЛАВЛЕННЫЙ СЫРНЫЙ ПРОДУКТ ARLA FOOD 140г ПУСК,Продукты питания и напитки
ПРЕСЕРВА ИЗ СЕЛЬДИ АС 160ГР МАРСЕЛЬ,Продукты питания и напитки
Лорофлю спрей для горла 20мл (Рижская Фармацевтическая фабрика/Латвия),Лекарства
Клин шкворня ЗИЛ-130 (аналог) с гайкой,Прочие товары
 ОПОРНЫЕ ОТКИДНЫЕ ПОРУЧНИ ДЛЯ ТУАЛЕТНЫХ КОМНАТ,Бытовая химия и хозтовары
Болт М6*40,Строительные материалы и отделка
"Станки обдирочно-шлифовальные, заточные, шлифовальные, хонинговальные, притирочные, полировальные и для выполнения других операций чистовой обработки металлов или металлокерамики с помощью шлифовальных камней, абразивов или полирующих средств, кроме зуборезных, зубошлифовальных или зубоотделочных станков товарной позиции 8461 / станки заточные (для режущих инструментов) / прочие",Оборудование и инструмент
"414206 BG Крем для рук Смягчающий, 75 мл",Бытовая химия и хозтовары
"Согласование эскизов,  Нур-Султан,  Сентябрь 2022",Прочие товары
"БАЛЬЗАМ ДЛЯ ГУБ (ПЕРСИК) НАРОДНЫЕ РЕЦЕПТЫ FITO КОСМЕТИК 4,5ГР",Бытовая химия и хозтовары
НМ повод/бр №25   2м,Зоотовары
КЕТОТИФЕН СОФАРМА 1мг N30 таб,Лекарства
Apple Watch Series 7 45 мм черный-золотистый,Ювелирные изделия и аксессуары
TAMPONS KOTEX УЛЬТРА СОБ МИНИ 8+4ШТ,Бытовая химия и хозтовары
